Name,Role,Email,Phone,User,State,Image
Dalton Reis,Abrir menu,CSS - ID e Classes,CSS - Combinadores,CSS - Filho imediato,CSS - Irmãos,https://curso-web-scraping.pages.dev/assets/logo-CiMlYpgZ.png
Dalton Melo,CSS - ID e Classes,Desafio 1,Desafio 2,Desafio 3,Desafio 4,https://avatars.githubusercontent.com/u/33839072
Dalton Carvalho Jr.,CSS - Combinadores,E-mail: dalton_reis90@example.com,Telefone: (40) 9948-3116,Usuário: dalton_reis75,Estado: Piauí,https://avatars.githubusercontent.com/u/30618210
Srta. Dalton Souza,CSS - Filho imediato,E-mail: dalton_melo@example.com,Telefone: (73) 3594-3302,Usuário: dalton.melo91,Estado: Amazonas,https://avatars.githubusercontent.com/u/48995523
Dalton Albuquerque,CSS - Irmãos,E-mail: dalton_carvalho@example.net,Telefone: (73) 11147-3185,Usuário: dalton_carvalho70,Estado: Espírito Santo,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/385.jpg
Dalton Santos,Exemplo 1,E-mail: dalton_souza@example.com,Telefone: (74) 5586-3674,Usuário: dalton.souza,Estado: Amapá,https://avatars.githubusercontent.com/u/44143485
Dalton Martins Neto,Exemplo 2,E-mail: dalton_albuquerque@example.net,Telefone: (23) 7518-4437,Usuário: dalton.albuquerque,Estado: Maranhão,https://avatars.githubusercontent.com/u/27129189
Dalton Pereira,Exemplo 3,E-mail: dalton_santos@example.net,Telefone: +55 (20) 8607-1679,Usuário: dalton.santos,Estado: Pernambuco,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/601.jpg
Dalton Saraiva,Exemplo 4,E-mail: dalton_martins@example.com,Telefone: (78) 75165-3077,Usuário: dalton.martins6,Estado: Paraíba,https://avatars.githubusercontent.com/u/33135189
Dalton Pereira,Exemplo 5,E-mail: dalton.pereira96@example.net,Telefone: (47) 23691-4279,Usuário: dalton_pereira14,Estado: Roraima,https://avatars.githubusercontent.com/u/79381841

Sr. Ana Martins,Abrir menu,CSS - ID e Classes,CSS - Combinadores,CSS - Filho imediato,CSS - Irmãos,https://curso-web-scraping.pages.dev/assets/logo-CiMlYpgZ.png
Ana Batista Jr.,CSS - ID e Classes,Desafio 1,Desafio 2,Desafio 3,Desafio 4,https://avatars.githubusercontent.com/u/90154552
Ana Reis,CSS - Combinadores,E-mail: ana_martins17@example.net,Telefone: (89) 0644-6734,Usuário: ana.martins68,Estado: Pará,https://avatars.githubusercontent.com/u/95415973
Ana Macedo,CSS - Filho imediato,E-mail: ana.batista@example.org,Telefone: (70) 7529-4751,Usuário: ana_batista65,Estado: Tocantins,https://avatars.githubusercontent.com/u/40993901
Dra. Ana Albuquerque,CSS - Irmãos,E-mail: ana.reis@example.com,Telefone: (31) 8421-6619,Usuário: ana.reis,Estado: Paraíba,https://avatars.githubusercontent.com/u/71610830
Ana Souza,Exemplo 1,E-mail: ana.macedo39@example.org,Telefone: (99) 6038-5795,Usuário: ana.macedo,Estado: Ceará,https://avatars.githubusercontent.com/u/99336058
Ana Batista,Exemplo 2,E-mail: ana.albuquerque@example.org,Telefone: (84) 6410-9161,Usuário: ana_albuquerque,Estado: Rio de Janeiro,https://avatars.githubusercontent.com/u/8024274
Ana Albuquerque,Exemplo 3,E-mail: ana_souza@example.org,Telefone: +55 (08) 0800-1555,Usuário: ana_souza,Estado: Acre,https://avatars.githubusercontent.com/u/19701459
Ana Braga,Exemplo 4,E-mail: ana.batista5@example.org,Telefone: (87) 2954-6666,Usuário: ana.batista,Estado: Mato Grosso,https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/38.jpg
Ana Martins,Exemplo 5,E-mail: ana_albuquerque@example.com,Telefone: +55 (71) 5530-5645,Usuário: ana.albuquerque93,Estado: Espírito Santo,https://avatars.githubusercontent.com/u/61932532

